"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.371948240E-1,7.704925537E-1,-2.727813721E-1,9.296112061E0,9.331975562E0
4.395141600E-1,9.236297607E-1,1.698913574E-1,8.903686523E0,8.953077053E0
4.418640140E-1,8.733825684E-1,1.287338257E0,8.547164917E0,8.687581080E0
4.441833500E-1,2.297058105E-1,1.012161255E0,9.602401733E0,9.658330819E0
4.465332030E-1,1.136596680E0,7.130584717E-1,9.343978882E0,9.439822336E0
4.488830570E-1,1.514663696E0,4.019927979E-1,9.178863525E0,9.311677611E0
4.512023930E-1,2.084152222E0,3.828430176E-2,9.064010620E0,9.300615286E0
4.535522460E-1,2.646469116E0,-4.115600586E-1,9.037689209E0,9.426187283E0
4.558715820E-1,2.766098022E0,-7.513427734E-1,9.035293579E0,9.479047647E0
4.582214360E-1,2.275573730E0,-9.044799805E-1,9.142974854E0,9.465215740E0
4.605712890E-1,1.507476807E0,-8.805541992E-1,9.293716431E0,9.456269196E0
4.628906250E-1,7.154541016E-1,-6.891326904E-1,9.461227417E0,9.513233029E0
4.652404790E-1,6.700134277E-2,-3.661041260E-1,9.530609131E0,9.537873548E0
4.675598150E-1,-2.344970703E-1,-5.264282227E-2,9.585647583E0,9.588659955E0
4.699096680E-1,-2.177429199E-1,1.292114258E-1,9.638290405E0,9.641615503E0
4.722595220E-1,4.547119141E-2,2.895355225E-1,9.683746338E0,9.688180509E0
4.745788580E-1,3.158569336E-1,3.684997559E-1,9.724426270E0,9.736530385E0
4.769287110E-1,5.910339355E-1,3.924255371E-1,9.726821899E0,9.752660313E0
4.792480470E-1,9.044799805E-1,1.459655762E-1,9.525833130E0,9.569790322E0
4.815979010E-1,1.282546997E0,-7.178497314E-1,9.257827759E0,9.373772445E0
4.839477540E-1,7.944183350E-1,-4.235229492E-1,9.528213501E0,9.570649126E0
4.862670900E-1,4.689941406E-1,5.981445312E-2,9.870391846E0,9.881708782E0
4.886169440E-1,4.522399902E-1,5.120697021E-1,1.006420898E1,1.008737027E1
4.909362790E-1,5.383911133E-1,8.422698975E-1,1.009771729E1,1.014707731E1
4.932861330E-1,5.838470459E-1,9.260253906E-1,9.970886230E0,1.003080120E1
4.956359870E-1,5.670928955E-1,8.661956787E-1,9.755538940E0,9.810322590E0
4.979553220E-1,5.575256348E-1,7.322082520E-1,9.576080322E0,9.620201562E0
